record_index	shape_value	delta_value	shape	shape_2bit_bytes	phrase_plain
87	4489216	32768	[2 1 1]	40	aaaa aa aa
88	4493312	4096	[2 1 1 1]	40	aaaa aa aa aa
89	4497408	4096	[2 1 1 2]	41	aaaa aa aa aaaa
90	4501504	4096	[2 1 1 3]	42	aaaa aa aa aaaaaa
91	4505600	4096	[2 1 1 4]	43	aaaa aa aa aaaaaaaa
92	4521984	16384	[2 1 2]	44	aaaa aa aaaa
93	4526080	4096	[2 1 2 1]	44	aaaa aa aaaa aa
94	4530176	4096	[2 1 2 2]	45	aaaa aa aaaa aaaa
95	4534272	4096	[2 1 2 3]	46	aaaa aa aaaa aaaaaa
96	4538368	4096	[2 1 2 4]	47	aaaa aa aaaa aaaaaaaa
97	4554752	16384	[2 1 3]	48	aaaa aa aaaaaa
98	4558848	4096	[2 1 3 1]	48	aaaa aa aaaaaa aa
99	4562944	4096	[2 1 3 2]	49	aaaa aa aaaaaa aaaa
100	4567040	4096	[2 1 3 3]	4a	aaaa aa aaaaaa aaaaaa
101	4571136	4096	[2 1 3 4]	4b	aaaa aa aaaaaa aaaaaaaa
102	4587520	16384	[2 1 4]	4c	aaaa aa aaaaaaaa
103	4591616	4096	[2 1 4 1]	4c	aaaa aa aaaaaaaa aa
104	4595712	4096	[2 1 4 2]	4d	aaaa aa aaaaaaaa aaaa
105	4599808	4096	[2 1 4 3]	4e	aaaa aa aaaaaaaa aaaaaa
106	4603904	4096	[2 1 4 4]	4f	aaaa aa aaaaaaaa aaaaaaaa
107	4718592	114688	[2 2]	50	aaaa aaaa
108	4751360	32768	[2 2 1]	50	aaaa aaaa aa
109	4755456	4096	[2 2 1 1]	50	aaaa aaaa aa aa
110	4759552	4096	[2 2 1 2]	51	aaaa aaaa aa aaaa
111	4763648	4096	[2 2 1 3]	52	aaaa aaaa aa aaaaaa
112	4767744	4096	[2 2 1 4]	53	aaaa aaaa aa aaaaaaaa
113	4784128	16384	[2 2 2]	54	aaaa aaaa aaaa
114	4788224	4096	[2 2 2 1]	54	aaaa aaaa aaaa aa
115	4792320	4096	[2 2 2 2]	55	aaaa aaaa aaaa aaaa
116	4796416	4096	[2 2 2 3]	56	aaaa aaaa aaaa aaaaaa
117	4800512	4096	[2 2 2 4]	57	aaaa aaaa aaaa aaaaaaaa
118	4816896	16384	[2 2 3]	58	aaaa aaaa aaaaaa
119	4820992	4096	[2 2 3 1]	58	aaaa aaaa aaaaaa aa
120	4825088	4096	[2 2 3 2]	59	aaaa aaaa aaaaaa aaaa
121	4829184	4096	[2 2 3 3]	5a	aaaa aaaa aaaaaa aaaaaa
122	4833280	4096	[2 2 3 4]	5b	aaaa aaaa aaaaaa aaaaaaaa
123	4849664	16384	[2 2 4]	5c	aaaa aaaa aaaaaaaa
124	4853760	4096	[2 2 4 1]	5c	aaaa aaaa aaaaaaaa aa
125	4857856	4096	[2 2 4 2]	5d	aaaa aaaa aaaaaaaa aaaa
126	4861952	4096	[2 2 4 3]	5e	aaaa aaaa aaaaaaaa aaaaaa
127	4866048	4096	[2 2 4 4]	5f	aaaa aaaa aaaaaaaa aaaaaaaa
128	4980736	114688	[2 3]	60	aaaa aaaaaa
129	5013504	32768	[2 3 1]	60	aaaa aaaaaa aa
130	5017600	4096	[2 3 1 1]	60	aaaa aaaaaa aa aa
131	5021696	4096	[2 3 1 2]	61	aaaa aaaaaa aa aaaa
132	5025792	4096	[2 3 1 3]	62	aaaa aaaaaa aa aaaaaa
133	5029888	4096	[2 3 1 4]	63	aaaa aaaaaa aa aaaaaaaa
134	5046272	16384	[2 3 2]	64	aaaa aaaaaa aaaa
135	5050368	4096	[2 3 2 1]	64	aaaa aaaaaa aaaa aa
136	5054464	4096	[2 3 2 2]	65	aaaa aaaaaa aaaa aaaa
137	5058560	4096	[2 3 2 3]	66	aaaa aaaaaa aaaa aaaaaa
138	5062656	4096	[2 3 2 4]	67	aaaa aaaaaa aaaa aaaaaaaa
139	5079040	16384	[2 3 3]	68	aaaa aaaaaa aaaaaa
140	5083136	4096	[2 3 3 1]	68	aaaa aaaaaa aaaaaa aa
141	5087232	4096	[2 3 3 2]	69	aaaa aaaaaa aaaaaa aaaa
142	5091328	4096	[2 3 3 3]	6a	aaaa aaaaaa aaaaaa aaaaaa
143	5095424	4096	[2 3 3 4]	6b	aaaa aaaaaa aaaaaa aaaaaaaa
144	5111808	16384	[2 3 4]	6c	aaaa aaaaaa aaaaaaaa
145	5115904	4096	[2 3 4 1]	6c	aaaa aaaaaa aaaaaaaa aa
146	5120000	4096	[2 3 4 2]	6d	aaaa aaaaaa aaaaaaaa aaaa
147	5124096	4096	[2 3 4 3]	6e	aaaa aaaaaa aaaaaaaa aaaaaa
148	5128192	4096	[2 3 4 4]	6f	aaaa aaaaaa aaaaaaaa aaaaaaaa
149	5242880	114688	[2 4]	70	aaaa aaaaaaaa
150	5275648	32768	[2 4 1]	70	aaaa aaaaaaaa aa
151	5279744	4096	[2 4 1 1]	70	aaaa aaaaaaaa aa aa
152	5283840	4096	[2 4 1 2]	71	aaaa aaaaaaaa aa aaaa
153	5287936	4096	[2 4 1 3]	72	aaaa aaaaaaaa aa aaaaaa
154	5292032	4096	[2 4 1 4]	73	aaaa aaaaaaaa aa aaaaaaaa
155	5308416	16384	[2 4 2]	74	aaaa aaaaaaaa aaaa
156	5312512	4096	[2 4 2 1]	74	aaaa aaaaaaaa aaaa aa
157	5316608	4096	[2 4 2 2]	75	aaaa aaaaaaaa aaaa aaaa
158	5320704	4096	[2 4 2 3]	76	aaaa aaaaaaaa aaaa aaaaaa
159	5324800	4096	[2 4 2 4]	77	aaaa aaaaaaaa aaaa aaaaaaaa
160	5341184	16384	[2 4 3]	78	aaaa aaaaaaaa aaaaaa
161	5345280	4096	[2 4 3 1]	78	aaaa aaaaaaaa aaaaaa aa
162	5349376	4096	[2 4 3 2]	79	aaaa aaaaaaaa aaaaaa aaaa
163	5353472	4096	[2 4 3 3]	7a	aaaa aaaaaaaa aaaaaa aaaaaa
164	5357568	4096	[2 4 3 4]	7b	aaaa aaaaaaaa aaaaaa aaaaaaaa
165	5373952	16384	[2 4 4]	7c	aaaa aaaaaaaa aaaaaaaa
166	5378048	4096	[2 4 4 1]	7c	aaaa aaaaaaaa aaaaaaaa aa
167	5382144	4096	[2 4 4 2]	7d	aaaa aaaaaaaa aaaaaaaa aaaa
168	5386240	4096	[2 4 4 3]	7e	aaaa aaaaaaaa aaaaaaaa aaaaaa
169	5390336	4096	[2 4 4 4]	7f	aaaa aaaaaaaa aaaaaaaa aaaaaaaa
170	6291456	901120	[3]	80	aaaaaa
171	6553600	262144	[3 1]	80	aaaaaa aa
172	6586368	32768	[3 1 1]	80	aaaaaa aa aa
173	6590464	4096	[3 1 1 1]	80	aaaaaa aa aa aa
174	6594560	4096	[3 1 1 2]	81	aaaaaa aa aa aaaa
175	6598656	4096	[3 1 1 3]	82	aaaaaa aa aa aaaaaa
176	6602752	4096	[3 1 1 4]	83	aaaaaa aa aa aaaaaaaa
177	6619136	16384	[3 1 2]	84	aaaaaa aa aaaa
178	6623232	4096	[3 1 2 1]	84	aaaaaa aa aaaa aa
179	6627328	4096	[3 1 2 2]	85	aaaaaa aa aaaa aaaa
180	6631424	4096	[3 1 2 3]	86	aaaaaa aa aaaa aaaaaa
181	6635520	4096	[3 1 2 4]	87	aaaaaa aa aaaa aaaaaaaa
182	6651904	16384	[3 1 3]	88	aaaaaa aa aaaaaa
183	6656000	4096	[3 1 3 1]	88	aaaaaa aa aaaaaa aa
184	6660096	4096	[3 1 3 2]	89	aaaaaa aa aaaaaa aaaa
185	6664192	4096	[3 1 3 3]	8a	aaaaaa aa aaaaaa aaaaaa
186	6668288	4096	[3 1 3 4]	8b	aaaaaa aa aaaaaa aaaaaaaa
187	6684672	16384	[3 1 4]	8c	aaaaaa aa aaaaaaaa
188	6688768	4096	[3 1 4 1]	8c	aaaaaa aa aaaaaaaa aa
189	6692864	4096	[3 1 4 2]	8d	aaaaaa aa aaaaaaaa aaaa
190	6696960	4096	[3 1 4 3]	8e	aaaaaa aa aaaaaaaa aaaaaa
191	6701056	4096	[3 1 4 4]	8f	aaaaaa aa aaaaaaaa aaaaaaaa
192	6815744	114688	[3 2]	90	aaaaaa aaaa
193	6848512	32768	[3 2 1]	90	aaaaaa aaaa aa
194	6852608	4096	[3 2 1 1]	90	aaaaaa aaaa aa aa
195	6856704	4096	[3 2 1 2]	91	aaaaaa aaaa aa aaaa
196	6860800	4096	[3 2 1 3]	92	aaaaaa aaaa aa aaaaaa
197	6864896	4096	[3 2 1 4]	93	aaaaaa aaaa aa aaaaaaaa
198	6881280	16384	[3 2 2]	94	aaaaaa aaaa aaaa
199	6885376	4096	[3 2 2 1]	94	aaaaaa aaaa aaaa aa
200	6889472	4096	[3 2 2 2]	95	aaaaaa aaaa aaaa aaaa
201	6893568	4096	[3 2 2 3]	96	aaaaaa aaaa aaaa aaaaaa
202	6897664	4096	[3 2 2 4]	97	aaaaaa aaaa aaaa aaaaaaaa
203	6914048	16384	[3 2 3]	98	aaaaaa aaaa aaaaaa
204	6918144	4096	[3 2 3 1]	98	aaaaaa aaaa aaaaaa aa
205	6922240	4096	[3 2 3 2]	99	aaaaaa aaaa aaaaaa aaaa
206	6926336	4096	[3 2 3 3]	9a	aaaaaa aaaa aaaaaa aaaaaa
207	6930432	4096	[3 2 3 4]	9b	aaaaaa aaaa aaaaaa aaaaaaaa
208	6946816	16384	[3 2 4]	9c	aaaaaa aaaa aaaaaaaa
209	6950912	4096	[3 2 4 1]	9c	aaaaaa aaaa aaaaaaaa aa
210	6955008	4096	[3 2 4 2]	9d	aaaaaa aaaa aaaaaaaa aaaa
211	6959104	4096	[3 2 4 3]	9e	aaaaaa aaaa aaaaaaaa aaaaaa
212	6963200	4096	[3 2 4 4]	9f	aaaaaa aaaa aaaaaaaa aaaaaaaa
213	7077888	114688	[3 3]	a0	aaaaaa aaaaaa
214	7110656	32768	[3 3 1]	a0	aaaaaa aaaaaa aa
215	7114752	4096	[3 3 1 1]	a0	aaaaaa aaaaaa aa aa
216	7118848	4096	[3 3 1 2]	a1	aaaaaa aaaaaa aa aaaa
217	7122944	4096	[3 3 1 3]	a2	aaaaaa aaaaaa aa aaaaaa
218	7127040	4096	[3 3 1 4]	a3	aaaaaa aaaaaa aa aaaaaaaa
219	7143424	16384	[3 3 2]	a4	aaaaaa aaaaaa aaaa
220	7147520	4096	[3 3 2 1]	a4	aaaaaa aaaaaa aaaa aa
221	7151616	4096	[3 3 2 2]	a5	aaaaaa aaaaaa aaaa aaaa
222	7155712	4096	[3 3 2 3]	a6	aaaaaa aaaaaa aaaa aaaaaa
223	7159808	4096	[3 3 2 4]	a7	aaaaaa aaaaaa aaaa aaaaaaaa
224	7176192	16384	[3 3 3]	a8	aaaaaa aaaaaa aaaaaa
225	7180288	4096	[3 3 3 1]	a8	aaaaaa aaaaaa aaaaaa aa
226	7184384	4096	[3 3 3 2]	a9	aaaaaa aaaaaa aaaaaa aaaa
227	7188480	4096	[3 3 3 3]	aa	aaaaaa aaaaaa aaaaaa aaaaaa
228	7192576	4096	[3 3 3 4]	ab	aaaaaa aaaaaa aaaaaa aaaaaaaa
229	7208960	16384	[3 3 4]	ac	aaaaaa aaaaaa aaaaaaaa
230	7213056	4096	[3 3 4 1]	ac	aaaaaa aaaaaa aaaaaaaa aa
231	7217152	4096	[3 3 4 2]	ad	aaaaaa aaaaaa aaaaaaaa aaaa
232	7221248	4096	[3 3 4 3]	ae	aaaaaa aaaaaa aaaaaaaa aaaaaa
233	7225344	4096	[3 3 4 4]	af	aaaaaa aaaaaa aaaaaaaa aaaaaaaa
234	7340032	114688	[3 4]	b0	aaaaaa aaaaaaaa
235	7372800	32768	[3 4 1]	b0	aaaaaa aaaaaaaa aa
236	7376896	4096	[3 4 1 1]	b0	aaaaaa aaaaaaaa aa aa
237	7380992	4096	[3 4 1 2]	b1	aaaaaa aaaaaaaa aa aaaa
238	7385088	4096	[3 4 1 3]	b2	aaaaaa aaaaaaaa aa aaaaaa
239	7389184	4096	[3 4 1 4]	b3	aaaaaa aaaaaaaa aa aaaaaaaa
240	7405568	16384	[3 4 2]	b4	aaaaaa aaaaaaaa aaaa
241	7409664	4096	[3 4 2 1]	b4	aaaaaa aaaaaaaa aaaa aa
242	7413760	4096	[3 4 2 2]	b5	aaaaaa aaaaaaaa aaaa aaaa
243	7417856	4096	[3 4 2 3]	b6	aaaaaa aaaaaaaa aaaa aaaaaa
244	7421952	4096	[3 4 2 4]	b7	aaaaaa aaaaaaaa aaaa aaaaaaaa
245	7438336	16384	[3 4 3]	b8	aaaaaa aaaaaaaa aaaaaa
246	7442432	4096	[3 4 3 1]	b8	aaaaaa aaaaaaaa aaaaaa aa
247	7446528	4096	[3 4 3 2]	b9	aaaaaa aaaaaaaa aaaaaa aaaa
248	7450624	4096	[3 4 3 3]	ba	aaaaaa aaaaaaaa aaaaaa aaaaaa
249	7454720	4096	[3 4 3 4]	bb	aaaaaa aaaaaaaa aaaaaa aaaaaaaa
250	7471104	16384	[3 4 4]	bc	aaaaaa aaaaaaaa aaaaaaaa
251	7475200	4096	[3 4 4 1]	bc	aaaaaa aaaaaaaa aaaaaaaa aa
252	7479296	4096	[3 4 4 2]	bd	aaaaaa aaaaaaaa aaaaaaaa aaaa
253	7483392	4096	[3 4 4 3]	be	aaaaaa aaaaaaaa aaaaaaaa aaaaaa
254	7487488	4096	[3 4 4 4]	bf	aaaaaa aaaaaaaa aaaaaaaa aaaaaaaa
255	8388608	901120	[4]	c0	aaaaaaaa
256	8650752	262144	[4 1]	c0	aaaaaaaa aa
257	8683520	32768	[4 1 1]	c0	aaaaaaaa aa aa
258	8687616	4096	[4 1 1 1]	c0	aaaaaaaa aa aa aa
259	8691712	4096	[4 1 1 2]	c1	aaaaaaaa aa aa aaaa
260	8695808	4096	[4 1 1 3]	c2	aaaaaaaa aa aa aaaaaa
261	8699904	4096	[4 1 1 4]	c3	aaaaaaaa aa aa aaaaaaaa
262	8716288	16384	[4 1 2]	c4	aaaaaaaa aa aaaa
263	8720384	4096	[4 1 2 1]	c4	aaaaaaaa aa aaaa aa
264	8724480	4096	[4 1 2 2]	c5	aaaaaaaa aa aaaa aaaa
265	8728576	4096	[4 1 2 3]	c6	aaaaaaaa aa aaaa aaaaaa
266	8732672	4096	[4 1 2 4]	c7	aaaaaaaa aa aaaa aaaaaaaa
267	8749056	16384	[4 1 3]	c8	aaaaaaaa aa aaaaaa
268	8753152	4096	[4 1 3 1]	c8	aaaaaaaa aa aaaaaa aa
269	8757248	4096	[4 1 3 2]	c9	aaaaaaaa aa aaaaaa aaaa
270	8761344	4096	[4 1 3 3]	ca	aaaaaaaa aa aaaaaa aaaaaa
271	8765440	4096	[4 1 3 4]	cb	aaaaaaaa aa aaaaaa aaaaaaaa
272	8781824	16384	[4 1 4]	cc	aaaaaaaa aa aaaaaaaa
273	8785920	4096	[4 1 4 1]	cc	aaaaaaaa aa aaaaaaaa aa
274	8790016	4096	[4 1 4 2]	cd	aaaaaaaa aa aaaaaaaa aaaa
275	8794112	4096	[4 1 4 3]	ce	aaaaaaaa aa aaaaaaaa aaaaaa
276	8798208	4096	[4 1 4 4]	cf	aaaaaaaa aa aaaaaaaa aaaaaaaa
277	8912896	114688	[4 2]	d0	aaaaaaaa aaaa
278	8945664	32768	[4 2 1]	d0	aaaaaaaa aaaa aa
279	8949760	4096	[4 2 1 1]	d0	aaaaaaaa aaaa aa aa
280	8953856	4096	[4 2 1 2]	d1	aaaaaaaa aaaa aa aaaa
281	8957952	4096	[4 2 1 3]	d2	aaaaaaaa aaaa aa aaaaaa
282	8962048	4096	[4 2 1 4]	d3	aaaaaaaa aaaa aa aaaaaaaa
283	8978432	16384	[4 2 2]	d4	aaaaaaaa aaaa aaaa
284	8982528	4096	[4 2 2 1]	d4	aaaaaaaa aaaa aaaa aa
285	8986624	4096	[4 2 2 2]	d5	aaaaaaaa aaaa aaaa aaaa
286	8990720	4096	[4 2 2 3]	d6	aaaaaaaa aaaa aaaa aaaaaa
287	8994816	4096	[4 2 2 4]	d7	aaaaaaaa aaaa aaaa aaaaaaaa
288	9011200	16384	[4 2 3]	d8	aaaaaaaa aaaa aaaaaa
289	9015296	4096	[4 2 3 1]	d8	aaaaaaaa aaaa aaaaaa aa
290	9019392	4096	[4 2 3 2]	d9	aaaaaaaa aaaa aaaaaa aaaa
291	9023488	4096	[4 2 3 3]	da	aaaaaaaa aaaa aaaaaa aaaaaa
292	9027584	4096	[4 2 3 4]	db	aaaaaaaa aaaa aaaaaa aaaaaaaa
293	9043968	16384	[4 2 4]	dc	aaaaaaaa aaaa aaaaaaaa
294	9048064	4096	[4 2 4 1]	dc	aaaaaaaa aaaa aaaaaaaa aa
295	9052160	4096	[4 2 4 2]	dd	aaaaaaaa aaaa aaaaaaaa aaaa
296	9056256	4096	[4 2 4 3]	de	aaaaaaaa aaaa aaaaaaaa aaaaaa
297	9060352	4096	[4 2 4 4]	df	aaaaaaaa aaaa aaaaaaaa aaaaaaaa
298	9175040	114688	[4 3]	e0	aaaaaaaa aaaaaa
299	9207808	32768	[4 3 1]	e0	aaaaaaaa aaaaaa aa
300	9211904	4096	[4 3 1 1]	e0	aaaaaaaa aaaaaa aa aa
301	9216000	4096	[4 3 1 2]	e1	aaaaaaaa aaaaaa aa aaaa
302	9220096	4096	[4 3 1 3]	e2	aaaaaaaa aaaaaa aa aaaaaa
303	9224192	4096	[4 3 1 4]	e3	aaaaaaaa aaaaaa aa aaaaaaaa
304	9240576	16384	[4 3 2]	e4	aaaaaaaa aaaaaa aaaa
305	9244672	4096	[4 3 2 1]	e4	aaaaaaaa aaaaaa aaaa aa
306	9248768	4096	[4 3 2 2]	e5	aaaaaaaa aaaaaa aaaa aaaa
307	9252864	4096	[4 3 2 3]	e6	aaaaaaaa aaaaaa aaaa aaaaaa
308	9256960	4096	[4 3 2 4]	e7	aaaaaaaa aaaaaa aaaa aaaaaaaa
309	9273344	16384	[4 3 3]	e8	aaaaaaaa aaaaaa aaaaaa
310	9277440	4096	[4 3 3 1]	e8	aaaaaaaa aaaaaa aaaaaa aa
311	9281536	4096	[4 3 3 2]	e9	aaaaaaaa aaaaaa aaaaaa aaaa
312	9285632	4096	[4 3 3 3]	ea	aaaaaaaa aaaaaa aaaaaa aaaaaa
313	9289728	4096	[4 3 3 4]	eb	aaaaaaaa aaaaaa aaaaaa aaaaaaaa
314	9306112	16384	[4 3 4]	ec	aaaaaaaa aaaaaa aaaaaaaa
315	9437184	131072	[4 4]	f0	aaaaaaaa aaaaaaaa
316	9469952	32768	[4 4 1]	f0	aaaaaaaa aaaaaaaa aa
317	9502720	32768	[4 4 2]	f4	aaaaaaaa aaaaaaaa aaaa
318	9535488	32768	[4 4 3]	f8	aaaaaaaa aaaaaaaa aaaaaa
319	9568256	32768	[4 4 4]	fc	aaaaaaaa aaaaaaaa aaaaaaaa
